Name,Code,Type,Unit,Description,Manufacturer,Sales Tax,PurchaseTax,StripSize,Scheduled,Strength,Category,Molecule,Mrp,Selling Price,Avg Item Cost,Stock Value@ Cost,Offer
NEFROSAVE TAB,,,10'S,,RANBAXY LABORATORIES LTD,,5,1,,,,,89.5,68.19,63.42,190.26,
NEO-DROL -40MG INJ,,,10'S,,TORRENT PHARMACEUTICALS LTD,,5,53,,,,,89,68.51,63.31,1519.48,
NEO-MERCAZOLE-10 TAB,,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,90,68.57,63.77,1913.1,
NEO-MERCAZOLE-5MG TAB,,,10'S,,RANBAXY LABORATORIES LTD,,5,1,,,,,176.5,134.48,125.07,1500.84,Buy 10 get 1
NEORELAX-4MG CAPS,,,10'S,,BLUE CROSS LABORATORIES LTD,,14.5,,,,,,30,26,,,Buy 3 get 1
NEOROF  20ML INJECTION,,,10'S,,BLUE CROSS LABORATORIES LTD,,14.5,,,,,,30,26,,,Buy 3 get 1
NEOVEC 4MG 2ML,,,10'S,,CENTAUR PHARMACEUTICALS PVT LTD,,5,,,,,,25,21,,,Buy 10 get 1
NEXITO  5MG TAB,,,10'S,,FERRING PHARMACEUTICALS,,5,,,,,,25,21,,,Buy 10 get 1
NEXITO 20MG TAB,,,10'S,,FERRING PHARMACEUTICALS,,5,,,,,,25,21,,,Buy 10 get 1
NEXPRO JUNIOR SACHETS 1GM,,,10'S,,CIPLA LTD,,5,45,,,,,27.5,24.5,1,0,
NICARDIA RETARD 20 TAB,,,10'S,,COMED CHEMICALS (P) LIMITED,,5,63,,,,,104.85,101.85,1,0,
NICOACE-PLUS TAB,,,10'S,,COMED CHEMICALS (P) LIMITED,,5,63,,,,,35.4,32.4,1,0,
NICOSPAS TAB,,,10'S,,COMED CHEMICALS (P) LIMITED,,5,63,,,,,53,50,1,0,Buy 5 get 1
NICOTEX-2MG SUGAR FREE TAB,,,10'S,,COMED CHEMICALS (P) LIMITED,,5,63,,,,,85,82,1,0,Buy 5 get 1
NICOTEX-4MG SUGAR FREE TAB,,,10'S,,COMED CHEMICALS (P) LIMITED,,5,63,,,,,77,74,1,0,Buy 5 get 1
NIFTY SR TAB,,,10'S,,COMED CHEMICALS (P) LIMITED,,5,63,,,,,76.5,73.5,1,0,Buy 5 get 1
NIRCIP IV 100ML(CIPROFLOXACIN),,,10'S,,Dr.REDDY's LABORATORIES LTD,,5,54,,,,,58.8,55.8,1,0,Buy 5 get 1
NIRMET IV 500MG 100ML,,,10'S,,Dr.REDDY's LABORATORIES LTD,,5,54,,,,,25.5,22.5,1,0,Buy 5 get 1
NITE 10mg TAB,,,10'S,,ABBOTT INDIA LTD,,14.5,25,,,,,240,220,1,0,Buy 5 get 1
NUTRIFOL TAB,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,49.9,46.9,1,0,
NUTROLIN-B PLUS CAP,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,89.3,86.3,1,0,
NUTROLIN-B SYP,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,75,72,1,0,
OCTRIDE 100MG INJ.,,,10'S,,LUPIN LABORATORIES LTD,,5,53,,,,,118.47,115.47,1,0,Buy 5 get 1
OCTRIDE-50MG INJ 1ML,,,10'S,,LUPIN LABORATORIES LTD,,5,57,,,,,98,95,1,0,Buy 5 get 1
ODIMONT-LC SYRUP,,,10'S,,LUPIN LABORATORIES LTD,,5,75,,,,,19.12,16.12,1,0,Buy 5 get 1
ODIMONT-LC TAB,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,41,38,1,0,Buy 5 get 1
OF I.V. 200 MG 100 ML,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,74.5,71.5,1,0,Buy 5 get 1
OFLICT 200MG TAB,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,75,72,1,0,Buy 5 get 1
OFLOMAC IV 100ML,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,120,117,1,0,Buy 5 get 1
OFLOMAX-OZ TAB,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,111.5,108.5,1,0,Buy 5 get 1
OFLOX 200mg TAB,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,96.17,93.17,1,0,Buy 5 get 1
OFLOX EYE/EAR DROPS,,,10'S,,LUPIN LABORATORIES LTD,,5,57,,,,,15.83,12.83,1,0,Buy 5 get 1
OFLOX-TZ TAB,,,10'S,,LUPIN LABORATORIES LTD,,5,1,,,,,104,101,1,0,Buy 5 get 1
OLEANZ 5MG TAB,,,10'S,,LUPIN LABORATORIES LTD,,5,37,,,,,68.4,65.4,1,0,
OLIMELT 2.5MG TAB,,,10'S,,LUPIN LABORATORIES LTD,,5,1,,,,,55.1,52.1,1,0,
OLIMELT-10MG TAB,,,10'S,,LUPIN LABORATORIES LTD,,5,1,,,,,85.79,82.79,1,0,
OLMESAR 20mg TAB,,,10'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,57,,,,,9.86,6.86,1,0,
OME-PPI-20MG CAPS,,,10'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,57,,,,,18.32,15.32,1,0,
OMNACORTIL SYP 5MG-60ML,,,10'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,57,,,,,5.83,2.83,1,0,
OMNACORTIL-20 TAB,,,10'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,45,,,,,142,139,1,0,
OMNACORTIL-30 TAB,,,10'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,45,,,,,96,93,1,0,
OMNIGEL 10GM,,,10'S,,MAJOR PHARMACEUTICALS,,5,58,,,,,30,27,1,0,
OMNIX 200 DT TAB,,,10'S,,MAJOR PHARMACEUTICALS,,5,58,,,,,25,22,1,0,
ONCOTREX 5MG TAB,,,10'S,,MAJOR PHARMACEUTICALS,,5,58,,,,,30,27,1,0,
ONCOTREX-7.5MG TAB,,,10'S,,MAJOR PHARMACEUTICALS,,5,58,,,,,50,47,1,0,
ONECAN 400MG TAB,,,10'S,,MANKIND PHARMA LTD,,14.5,57,,,,,36.3,33.3,1,0,
OPEC-DSR CAP.,,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,26.9,23.9,1,0,
OPERA 40MG INJ,,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,19.2,16.2,1,0,
OPTA-D TAB,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,98.5,95.5,1,0,
ORNAMAC IV 100ML,,,10'S,,MANKIND PHARMA LTD,,5,57,,,,,38.5,35.5,1,0,Buy 5 get 1
ORNAMAC TAB,,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,21.9,18.9,1,0,Buy 5 get 1
ORNIDA  IV 100ML,,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,47.5,44.5,1,0,Buy 5 get 1
ORNIDA TAB,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,69.9,66.9,1,0,Buy 5 get 1
OROMOX-C 625MG TAB,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,39.9,36.9,1,0,Buy 5 get 1
ORS (BIOTRAL) SACHET,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,140,137,1,0,Buy 5 get 1
OSTOSPRAY,,,10's,,MANKIND PHARMA LTD,,5,37,,,,,41.5,38.5,1,0,Buy 5 get 1
OTRIVIN (PAED) NASAL DROPS,,,10'S,,MANKIND PHARMA LTD,,5,37,,,,,85,82,1,0,Buy 5 get 1
OTRIVIN NASAL SPRAY 10ML(ADULT),,,10'S,,MANKIND PHARMA LTD,,5,37,,,,,36.8,33.8,1,0,Buy 5 get 1
OTRIVIN NASAL SPRAY ADULT 10ML,,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,15,12,1,0,
OXRING OD 300MG TAB,,,10'S,,MANKIND PHARMA LTD,,5,37,,,,,16.4,13.4,1,0,
OXRING OD 600 MG TAB,,,10'S,,MANKIND PHARMA LTD,,5,57,,,,,82.5,79.5,1,0,
OXYGEN MASK PAED,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,44.9,41.9,1,0,
OXYGEN MASK( A),,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,44.9,41.9,1,0,
P-RD CAPS,,,10'S,,MANKIND PHARMA LTD,,5,37,,,,,51,48,1,0,
PANPLUS-D 40MG TAB,,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,32.5,29.5,1,0,
PANSEC 40mg TAB,,,10'S,,MANKIND PHARMA LTD,,5,57,,,,,62,59,1,0,
PANTIME-40MG TAB,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,88,85,1,0,
PANTOP HP KIT,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,119.85,116.85,1,0,
PEDIA-DRIP SET,,,10'S,,MANKIND PHARMA LTD,,5,57,,,,,55,52,1,0,
PEDICLORYL SYP,,,10'S,,MANKIND PHARMA LTD,,5,37,,,,,42.5,39.5,1,0,
PENTIDS 400 TAB,,,10'S,,MANKIND PHARMA LTD,,5,37,,,,,30,27,1,0,
PERICAN 18G(EPIDURAL NEEDLE),,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,160,157,1,0,
PHENERGAN 10MG TAB,,,10'S,,MANKIND PHARMA LTD,,5,57,,,,,25.4,22.4,1,0,
PHENERGAN 2ML INJ,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,104.5,101.5,1,0,
PHENERGAN SYP-100ML,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,62.7,59.7,1,0,
PHENTIX 2ML INJ,,,10'S,,MANKIND PHARMA LTD,,5,37,,,,,65,62,1,0,
PITOCIN-0.5ML INJ,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,220,217,1,0,
PLAGERIN-A 150MG TAB,,,10'S,,MANKIND PHARMA LTD,,5,48,,,,,110,107,1,0,
POLYMOL XTRA 650MG,,,10'S,,MEDLEY PHARMACEUTICALS LIMITED,,5,86,,,,,39,36,1,0,
POPBAND 10CM(GALAXY MEDICARE),,,10'S,,MEDLEY PHARMACEUTICALS LIMITED,,5,86,,,,,77,74,1,0,
POPBAND 15CM (GALAXY MEDICARE),,,10'S,,MERCURY LABORATORIES LIMITED,,5,68,,,,,79.8,76.8,1,0,
POTRATE SF SYP 200ML,,,10'S,,USV,,14.5,113,,,,,99,96,1,0,
PRIMACORT-100 INJ,,,10'S,,CARDIMED,,5,134,,,,,59.2,45.1,40.53,810.6,
PRIMAPORE 20CMX10CM,,,10'S,,LUPIN LABORATORIES LTD,,5,57,,,,,56,45.23,42.06,252.36,
PRIMAPORE 8CMX6CM,,,10'S,,RANBAXY LABORATORIES LTD,,5,62,,,,,59.5,45.34,41.71,417.1,
PRIMIGEN 0.5MG GEL,,,10'S,,CIPLA LTD,,5,45,,,,,59,45.43,42.25,126.75,
PRIMOLUT-N TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,59,45.43,42.25,633.75,
PROLINATE INJ 1ML,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,59,45.43,42.25,591.5,
PROTHIADEN 50MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,57,,,,,59,45.43,42.25,253.5,
PROTHIADEN 75MG TAB,,,10'S,,MAJOR PHARMACEUTICALS,,5,58,,,,,55,45.6,40.37,3148.7,Buy 10 get 1
PROTHIADEN M TAB,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,59.3,45.65,42.45,2801.91,Buy 10 get 1
PROVANOL FORTE-0.5MG,,,10'S,,MICRO LABS LTD (INDIA),,5,1,,,,,80,61.6,56.67,226.68,
PROVANOL SR 40MG TAB,,,10'S,,LUPIN LABORATORIES LTD,,5,1,,,,,90,64.34,59.84,718.08,
PROXYVON PLUS CAPS,,,10'S,,LUPIN LABORATORIES LTD,,5,1,,,,,84.5,64.38,59.87,658.57,
PRUFREE-10MG TAB,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,143,110.08,102.38,6040.21,
PRUGO 10 MG,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,14.5,1,,,,,143,110.1,102.34,1125.74,
PRUGO SYRUP,,,10'S,,Dr.REDDY's LABORATORIES LTD,,5,54,,,,,189,144,133.92,937.44,
PRUGO-25 MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,190,146.29,136.05,816.3,
PULMOREX EXPECTORANT,,,10'S,,ABBOTT INDIA LTD,,14.5,53,,,,,32.24,31,1,0,Buy 5 get 1
PYROLATE 0.2MG INJ 1ML,,,10'S,,ELDER PHARMACEUTICALS PVT LTD,,5,73,,,,,401,398,1,0,Buy 5 get 1
Q-PIN SR 100MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,22.44,19.44,1,0,Buy 5 get 1
QURE INJ 100ML(LEVOFLOXACIN),,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,56,,,,,36,33,1,0,
QUTAN SR 50MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,57,,,,,89,86,1,0,
QUTAN-100MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,160,157,1,0,
QUTAN-25MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,65,62,1,0,
QUTIPIN 100MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,1,,,,,73,70,1,0,
RABCER-DSR CAP,,,10'S,,USV,,14.5,25,,,,,61,46.48,43.23,1642.74,
RABICIP 20MG IV INJ.,,,10'S,,BAYER PHARMA,,5,1,,,,,61.5,46.86,43.11,775.98,
RACIPER INJ,,,10'S,,GRANDIX PHARMACEUTICALS LTD,,5,10,,,,,199.5,152,139.84,978.88,
RAMIHART-5MG,,,10'S,,PFIZER LIMITED,,5,45,,,,,5.89,2.89,1,0,Buy 5 get 1
RANITIN INJ,,,10'S,,PHARM PRODUCTS,,5,68,,,,,7.55,4.55,1,0,Buy 5 get 1
RANTAC MPS SYP-170ML,,,10'S,,PHARM PRODUCTS,,5,68,,,,,37.2,34.2,1,0,
RAVIRON XT TAB,,,10'S,,PHARMED MEDICARE,,5,1,,,,,28.5,25.5,1,0,
REBAGEN TAB,,,10'S,,PHARMED MEDICARE,,5,57,,,,,177,174,1,0,
RECTOL-170 SUPP(PARACETAMOL),,,10'S,,PHARMED MEDICARE,,5,48,,,,,155,152,1,0,
RECTOL-80 SUPP(PARACETAMOL),,,10'S,,PHARMED MEDICARE,,5,57,,,,,211,208,1,0,
REDUSTAT PLUS TAB,,,10'S,,PHARMED MEDICARE,,5,1,,,,,120,117,1,0,
REDUSTAT-10MG TAB.,,,10'S,,PHARMED MEDICARE,,5,1,,,,,58,55,1,0,
REDUSTAT-20MG TAB,,,10'S,,PHARMED MEDICARE,,5,1,,,,,125,122,1,0,
REDUVAS 5MG TAB,,,10'S,,PHARMED MEDICARE,,5,1,,,,,115,112,1,0,
RESTOFOS-70MG TAB,,,10'S,,PIRAMAL HEALTHCARE LTD,,5,45,,,,,284,281,1,0,
REVOLIZER,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,141.5,108.93,100.63,4427.91,Buy 10 get 1
REXIDIN  MOUTH WASH 120ML,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,57,,,,,145,111.64,103.83,934.47,
REXIDIN MOUTH WASH 60ML,,,10'S,,MICRO LABS LTD (INDIA),,5,62,,,,,147,113.18,104.9,3251.76,
REXIMOIST LOTION 50ML,,,10'S,,ALBERT DAVID LIMITED,,5,69,,,,,40.5,38.5,1,0,Buy 10 get 1
REXIPRA-10MG TAB,,,10'S,,ALKEM LABORATORIES LTD,,5,1,,,,,32.8,29.5,1,0,Buy 10 get 1
RISDONE FORTE TAB,,,10'S,,NICHOLAS PIRAMAL INDIA LTD,,5,45,,,,,12.17,9.45,8.75,34.98,Buy 5 get 1
RISDONE PLUS TAB,,,10'S,,NOVARTIS (INDIA) LTD,,5,1,,,,,41.2,31.76,29.7,207.9,Buy 10 get 1
RISDONE-1MG TAB,,,10'S,,NOVARTIS (INDIA) LTD,,5,25,,,,,51.62,42.38,39.63,39.63,
RISDONE-MT-0.5MG TAB,,,10'S,,SUN PHARMACEUTICALS INDUSTRIES LTD,,5,56,,,,,98,75.45,70.17,631.53,
RISNIA FORTE TAB,,,10'S,,MANKIND PHARMA LTD,,5,,,,,,35,31,,,Buy 10 get 1
RISNIA MD 2MG TAB,,,10'S,,MICRO LABS LTD (INDIA),,5,1,,,,,85,65.44,60.2,1204,
RL-500ML(BAXTER),,,10'S,,ALKEM LABORATORIES LTD,,5,1,,,,,240.5,235.5,1,0,Buy 5 get 1
ROLANT 20MG TAB,,,10'S,,ALKEM LABORATORIES LTD,,5,45,,,,,250,235,1,0,
ROLANT-DSR CAPS,,,10'S,,ALKEM LABORATORIES LTD,,5,45,,,,,289,265,1,0,
ROLL 20MG TAB,,,10'S,,ALKEM LABORATORIES LTD,,5,1,,,,,72.5,71,1,0,
ROVERT-16MG TAB,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,25,,,,,59,52.5,1,0,Buy 5 get 1
RPZ-20 TAB,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,25,,,,,36,32.7,1,0,Buy 5 get 1
RPZ-DSR CAP,,,10'S,,ARISTO PHARMACEUTICALS LTD,,5,25,,,,,56,50.5,1,0,Buy 5 get 1
RUBIT 25GM,,,10'S,,ASTTRAZENECA PHARMA INDIA LTD,,14.5,25,,,,,59.6,50.7,1,0,Buy 5 get 1
S CITADEP 10MG TAB,,,10'S,,ATLANTA BIOTEC,,5,60,,,,,30,28.5,1,0,
S CITADEP 5MG TAB,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,62,,,,,129,120.5,1,0,
S-PPI 40MG TAB,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,81,75.5,1,0,
SAAZ TAB,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,128,110.5,1,0,
SALACTIN PAINT 10ML,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,70,60.5,1,0,Buy 5 get 1
SALBAIR INHEALER,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,126.5,113.5,1,0,Buy 5 get 1
SALINA NASAL DROPS 10ML,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,70,68.5,1,0,Buy 5 get 1
SANITARY NAPKIN,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,181.3,175.5,1,0,Buy 5 get 1
SCALP VEIN SET 22,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,53,,,,,65,59.5,1,0,Buy 5 get 1
SEMI EXECUTIVE CHAIR,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,114,111,1,0,Buy 5 get 1
SEMI-DAONIL  2.5MG TAB,,,10'S,,AVENTIES PASTUER INDIA LTD,,14.5,25,,,,,198,195,1,0,Buy 5 get 1
SEPTRAN TAB,,,10'S,,BAL PHARMA LIMITED,,14.5,86,,,,,74,71,1,0,Buy 5 get 1
SERETIDE 250 EVOHALER,,,10'S,,BAYER INDIA LTD,,5,1,,,,,125,122,1,0,Buy 5 get 1
SEROFLO 250 INHALER,,,10'S,,BAYER INDIA LTD,,5,1,,,,,73,70,1,0,Buy 5 get 1
SHOULDER IMMOBILISER LEFT - XL (DYNA),,,10'S,,BAYER PHARMA,,5,25,,,,,42,39,1,0,Buy 5 get 1
SHOULDER IMMOBILISER RIGHT  -S- (DYNA)T,,,10'S,,BAYER PHARMA,,5,25,,,,,64,61,1,0,Buy 5 get 1
SHOULDER IMMOBILISER SPL-L (DYNA),,,10'S,,BAYER PHARMA,,5,1,,,,,50,47,1,0,Buy 5 get 1
SHOULDER IMMOBILISER SPL-XL(DYNA),,,10'S,,BAYER PHARMA,,5,1,,,,,7.6,4.6,1,0,Buy 5 get 1
SHOULDER IMMOBILIZER RIGHT -M (DYNA),,,10'S,,BAYER PHARMA,,5,1,,,,,73,70,1,0,Buy 5 get 1
SHOULDER IMMOBILIZER SPL M,,,10'S,,BAYER PHARMA,,5,25,,,,,84,81,1,0,Buy 5 get 1
SIBELIUM 10MG TAB,,,10'S,,BETCON DICKISON INDIA LIMITED,,5,25,,,,,70,67,1,0,
SIBELIUM 5MG TAB,,,10'S,,BIOCHEM PHARMACEUTICAL INDUSTRIAL LTD,,5,57,,,,,50.31,47.31,1,0,
SILOFAST 8MG CAP,,,10'S,,BIOCON LIMITED,,5,9,,,,,39,36,1,0,
SILVEREX IONIC 20G GEL,,,10'S,,BIOCON LIMITED,,5,9,,,,,57,54,1,0,
SILYBON SYP 100ML,,,10'S,,BIOCON LIMITED,,5,9,,,,,165,162,1,0,
SIMBA TAB,,,10'S,,BIOCON LIMITED,,5,9,,,,,36.5,33.5,1,0,
SINGULAIR 4MG TAB,,,10'S,,BIOCON LIMITED,,5,9,,,,,83,80,1,0,
SINGULAIR 5MG TAB,,,10'S,,BIOCON LIMITED,,5,9,,,,,100,97,1,0,
SIZODON FORTE TAB,,,10'S,,BIOCON LIMITED,,5,9,,,,,105,102,1,0,
SIZODON LS TAB,,,10'S,,BIOCON LIMITED,,5,9,,,,,66,63,1,0,
SIZODON MD 0.5MG TAB,,,10'S,,BIOCON LIMITED,,5,9,,,,,66,63,1,0,Buy 5 get 1
SKIZORIL-100MG TAB,,,10'S,,BIOMIICORN PHARMACEUTICALS,,5,68,,,,,163,160,1,0,Buy 5 get 1
SKIZORIL-25MG TAB,,,10'S,,BIOMIICORN PHARMACEUTICALS,,5,68,,,,,29.9,26.9,1,0,Buy 5 get 1
SODAMINT TAB,,,10'S,,ELDER PHARMA A DIVISION,,5,1,,,,,86,83,1,0,
SODIUM BICARBONATE INJ 10ML,,,10'S,,ELDER PHARMA B DIVISION,,5,1,,,,,177,174,1,0,
SODIUM PHOSPHATES ENEMA 100ML,,,10'S,,ELDER PHARMA B DIVISION,,5,1,,,,,30,27,1,0,
SOLTUS 200mg TAB,,,10'S,,ELDER PHARMA B DIVISION,,5,1,,,,,86,83,1,0,
SOLTUS 50mg TAB,,,10'S,,ELDER PHARMA B DIVISION,,5,1,,,,,108,105,1,0,
SORBITRATE-10MG TAB,,,10'S,,ELDER PHARMACEUTICALS PVT LTD,,5,1,,,,,177,174,1,0,
SOXIM 1.5GM INJ,,,10'S,,ELDER PHARMACEUTICALS PVT LTD,,5,48,,,,,70,67,1,0,Buy 5 get 1
SPINAL NEEDLE 20,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,63.5,60.5,1,0,
SPINAL NEEDLE 22 BD,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,58,55,1,0,
SPINAL NEEDLE 23 BD,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,36,33,1,0,
SPINAL NEEDLE 26,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,55,52,1,0,
SPINAL NEEDLE 26 BD,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,82,79,1,0,
SPORIDEX PAED DROPS 10ML,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,150,147,1,0,
SPORIDEX-AF 750MG TAB,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,170,167,1,0,
SQUAL 500MG CAPSULE,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,86,,,,,180,177,1,0,
SQUAL E  CAP,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,70,67,1,0,
SRD CAP,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,50,47,1,0,
STARPRESS-XL 25MG,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,72,69,1,0,
STATOR ASP 75MG TAB,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,70,67,1,0,
STEEL ALMIRAH -LARGE -20G [61/2 X 3 X 11/2],,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,45,42,1,0,
STELARIN CAP,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,65,62,1,0,
STELCEF 1.5GM INJ,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,70,67,1,0,
STELCEF 250MG TAB,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,80,77,1,0,
STELCEF 500MG TAB,,,10'S,,ERIS LIFE SCIENCIES PVT LTD,,5,25,,,,,55,52,1,0,
STELDOB CAP 500MG,,,10'S,,EVERGREEN RESEARCH LAB,,14.5,68,,,,,14.9,11.9,1,0,Buy 5 get 1
STELZONE SB 1.5G INJ,,,10'S,,EVERGREEN RESEARCH LAB,,14.5,68,,,,,22.9,19.9,1,0,Buy 5 get 1
STUGERON FORTE 75 MG,,,10'S,,FDC LIMITED,,5,57,,,,,4.35,1.35,1,0,Buy 5 get 1
SUCTION CATHETER  8 (ROMSON),,,10'S,,FDC LIMITED,,5,57,,,,,57.4,54.4,1,0,
SUCTION CATHETER 16 (ROMSON),,,10'S,,FDC LIMITED,,5,69,,,,,34.5,31.5,1,0,
SUGARCHECK STRIPS 15,,,10'S,,FDC LIMITED,,5,69,,,,,10.3,7.3,1,0,
SULBACT 1.5GM INJ.,,,10'S,,FDC LIMITED,,5,69,,,,,23,20,1,0,
SUPRADYN TAB,,,10'S,,FDC LIMITED,,5,57,,,,,99,96,1,0,
SUSTEN-200 INJ 2ML,,,10'S,,FDC LIMITED,,5,57,,,,,99.9,96.9,1,0,
SUSTEN-200MG CAP,,,10'S,,FDC LIMITED,,5,57,,,,,199.9,196.9,1,0,
SYNCAPONE 50mg TAB,,,10'S,,FDC LIMITED,,5,57,,,,,122.25,119.25,1,0,
SYRINGE 10ML(UNOLOK),,,10'S,,FDC LIMITED,,5,69,,,,,25.63,22.63,1,0,Buy 5 get 1
SYRINGE 2 ML (UNOLOCK),,,10'S,,FERRING PHARMACEUTICALS,,5,1,,,,,470,467,1,0,
SYRINGE 20ML (DISPOVAN),,,10'S,,FOCUS HEALTHCARE PVT LTD,,5,124,,,,,50,47,1,0,
SYRINGE 20ML(UNOLOK),,,10'S,,FOCUS HEALTHCARE PVT LTD,,5,126,,,,,75,72,1,0,
SYRINGE 5 ML (UNOLOCK),,,10'S,,FOCUS HEALTHCARE PVT LTD,,5,124,,,,,35,32,1,0,
T-BACT CREAM 7.5GM.,,,10'S,,FOCUS HEALTHCARE PVT LTD,,5,124,,,,,25,22,1,0,
T-BACT OINT 5GM,,,10'S,,FOCUS HEALTHCARE PVT LTD,,5,124,,,,,64.5,61.5,1,0,
T-MINIC DROPS,,,10'S,,FOURRTS (INDIA) LABORATORIES PVT LTD,,14.5,1,,,,,33,30,1,0,
TAMSTREAM 0.4MG CAP,,,10'S,,FOURRTS (INDIA) LABORATORIES PVT LTD,,14.5,1,,,,,138,135,1,0,
TAMSTREAM-D CAP,,,10'S,,FOURRTS (INDIA) LABORATORIES PVT LTD,,14.5,1,,,,,87,84,1,0,Buy 5 get 1
TEGRITAL CR 200 MG TAB,,,10'S,,LUPIN LABORATORIES LTD,,5,57,,,,,153.76,150.76,1,0,
TEGRITAL CR 400 MG TAB,,,10'S,,MACLEODS PHARMACEUTICALS PVT LTD,,5,57,,,,,7.85,4.85,1,0,
TEGRITAL-200 TAB,,,10'S,,MANKIND PHARMA LTD,,5,1,,,,,39.9,36.9,1,0,Buy 5 get 1
